template_id,template_title,file_ext,figure_family,source_file
51,云雨图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/51.云雨图模板.pzf
52,两组比较柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/52.两组比较柱状图模板.pzf
53,累积频率分布图模板,pzf,distribution,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/53.累积频率分布图模板.pzf
54,分面堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/54.分面堆积柱状图模板.pzf
55,富集气泡条目图模板,prism,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/55.富集气泡条目图模板.prism
55,富集气泡条目图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/55.富集气泡条目图模板.pzf
56,qPCR热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/56.qPCR热图模板.pzf
57,堆积蝴蝶图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/57.堆积蝴蝶图模板.pzf
58,WB蛋白定量气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/58.WB蛋白定量气泡图模板.pzf
59,富集棒棒糖条形图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/59.富集棒棒糖条形图模板.pzf
6,相关性热图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/6.相关性热图模板.pzf
60,多组区间折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/60.多组区间折线图模板.pzf
61,花花折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/61.花花折线图模板.pzf
62,WB蛋白定量热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/62.WB蛋白定量热图模板.pzf
63,彩色标签森林图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/63.彩色标签森林图模板.pzf
64,彩色卡片折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/64.彩色卡片折线图模板.pzf
